Prix,Etage,Surface habitable,NB Salons,NB Chambres,NB Salles de Bain,Longitude,Latitude
360000,2,62,1,2,1,-8.500711599999999,33.2316326
750000,2,92,1,3,1,-8.500711599999999,33.2316326
250000,4,72,1,3,1,-7.5370811,33.4160634
445000,3,50,1,1,1,-7.291589999999998,33.7395856
450000,2,71,1,2,2,-7.989825799999999,31.6225224
1550000,5,86,2,2,3,-6.8498129,33.9715904
510000,2,105,1,3,1,-1.900155,34.681962
880000,3,70,1,1,1,-7.589843399999999,33.5731104
510000,1,100,1,3,1,-1.900155,34.681962
990000,2,112,2,2,1,-7.291589999999998,33.7395856
558000,2,62,1,3,2,-7.633112999999999,33.4497542
1250000,1,100,1,2,2,-7.589843399999999,33.5731104
705000,2,75,1,3,2,-7.633112999999999,33.4497542
650000,2,75,1,3,1,-5.833954299999999,35.7594651
800000,2,106,1,3,2,-7.633112999999999,33.4497542
1100000,4,73,2,2,2,-7.589843399999999,33.5731104
1100000,4,88,1,2,2,-7.589843399999999,33.5731104
1220000,1,103,1,3,2,-6.9273969,33.9203274
315000,4,55,0,2,0,-5.833954299999999,35.7594651
990000,7,101,1,2,2,-7.589843399999999,33.5731104
640000,2,71,1,2,2,-7.633112999999999,33.4497542
630000,3,75,1,2,0,-5.833954299999999,35.7594651
1005900,2,103,1,2,1,-9.5925444,30.4280405
440000,3,49,1,1,1,-7.633112999999999,33.4497542
1400000,1,109,1,2,1,-7.989825799999999,31.6225224
880000,3,104,2,2,2,-7.633112999999999,33.4497542
230000,3,46,1,1,1,-7.589843399999999,33.5731104
700000,1,49,1,1,1,-7.989825799999999,31.6225224
1030000,1,114,1,3,2,-7.633112999999999,33.4497542
1159500,1,117,1,2,1,-9.5925444,30.4280405
750000,4,98,1,2,1,-7.989825799999999,31.6225224
300000,3,54,1,2,1,-7.589843399999999,33.5731104
1000000,5,100,1,3,2,-7.589843399999999,33.5731104
750000,4,84,0,2,0,-7.989825799999999,31.6225224
480000,1,63,1,2,2,-6.9273969,33.9203274
480000,1,70,1,2,1,-7.589843399999999,33.5731104
1100000,1,104,1,3,1,-7.989825799999999,31.6225224
920000,2,95,1,2,1,-7.945665899999999,33.4774313
680000,3,115,1,3,1,-6.9262805,33.8307968
580000,1,62,1,2,1,-7.589843399999999,33.5731104
750000,4,75,1,2,2,-7.589843399999999,33.5731104
