Column1,Column2,Full Address,Latitude,Longitude
El Jadida,Morocco,El Jadida Morocco ,33.2316326,-8.500711599999999
Casablanca,Morocco,Casablanca Morocco ,33.5731104,-7.589843399999999
Deroua,Morocco,Deroua Morocco ,33.4160634,-7.5370811
El Mansouria,Morocco,El Mansouria Morocco ,33.7395856,-7.291589999999998
Marrakech,Morocco,Marrakech Morocco ,31.6225224,-7.989825799999999
Rabat,Morocco,Rabat Morocco ,33.9715904,-6.8498129
Oujda,Morocco,Oujda Morocco ,34.681962,-1.900155
Bouskoura,Morocco,Bouskoura Morocco ,33.4497542,-7.633112999999999
Tanger,Morocco,Tanger Morocco ,35.7594651,-5.833954299999999
Temara,Morocco,Temara Morocco ,33.9203274,-6.9273969
Agadir,Morocco,Agadir Morocco ,30.4280405,-9.5925444
Sidi Rahal,Morocco,Sidi Rahal Morocco ,33.4774313,-7.945665899999999
Tamesna,Morocco,Tamesna Morocco ,33.8307968,-6.9262805
Mohammedia,Morocco,Mohammedia Morocco ,33.6835086,-7.384854699999999
Sidi Kacem,Morocco,Sidi Kacem Morocco ,34.2260172,-5.7129164
Salé,Morocco,Salé Morocco ,34.0336969,-6.770813800000001
Béni Mellal,Morocco,Béni Mellal Morocco ,32.342443,-6.375799
Kénitra,Morocco,Kénitra Morocco ,34.2540503,-6.5890166
Mehdia,Morocco,Mehdia Morocco ,34.2562684,-6.6758408
Fès,Morocco,Fès Morocco ,34.0181246,-5.0078451
Martil,Morocco,Martil Morocco ,35.6196262,-5.284117699999999
Fnideq,Morocco,Fnideq Morocco ,35.8432765,-5.3610346
Bouznika,Morocco,Bouznika Morocco ,33.7734338,-7.1599419
Tétouan,Morocco,Tétouan Morocco ,35.5888995,-5.3625516
Cabo Negro,Morocco,Cabo Negro Morocco ,35.6627774,-5.294569399999999
Skhirat,Morocco,Skhirat Morocco ,33.8509477,-7.060599799999999
Larache,Morocco,Larache Morocco ,35.1744271,-6.1473964
Dar Bouazza,Morocco,Dar Bouazza Morocco ,33.524034,-7.825917399999999
Saidia,Morocco,Saidia Morocco ,35.0998833,-2.2876645
Safi,Morocco,Safi Morocco ,32.3008151,-9.2272033
Ain Harrouda,Morocco,Ain Harrouda Morocco ,33.6353103,-7.450382899999998
Benslimane,Morocco,Benslimane Morocco ,33.6189698,-7.1305536
Sidi Bouknadel,Morocco,Sidi Bouknadel Morocco ,34.1199051,-6.7400326
Settat,Morocco,Settat Morocco ,32.99242419999999,-7.622266499999999
Meknès,Morocco,Meknès Morocco ,33.8730164,-5.5407299
Ain Attig,Morocco,Ain Attig Morocco ,31.791702,-7.092619999999999
Nador,Morocco,Nador Morocco ,35.1686165,-2.9275836
Tamaris,Morocco,Tamaris Morocco ,31.791702,-7.092619999999999
Khemisset,Morocco,Khemisset Morocco ,33.8153704,-6.0573302
Drargua,Morocco,Drargua Morocco ,30.38179389999999,-9.475603
Berrechid,Morocco,Berrechid Morocco ,33.268687,-7.5843171
Agadir Melloul,Morocco,Agadir Melloul Morocco ,30.23337059999999,-7.7965483
Tifelt,Morocco,Tifelt Morocco ,33.8954803,-6.3207151
Tit Mellil,Morocco,Tit Mellil Morocco ,33.5507563,-7.484122199999999
Errahma,Morocco,Errahma Morocco ,32.3162427,-9.2404532
Ras el Ma,Morocco,Ras el Ma Morocco ,35.1303966,-2.4159308
Mdiq,Morocco,Mdiq Morocco ,35.6805832,-5.3233213
Essaouira,Morocco,Essaouira Morocco ,31.5084926,-9.7595041
Ain Aouda,Morocco,Ain Aouda Morocco ,33.8052064,-6.7868794
