,Prix,Etage,Surface habitable,NB Salons,NB Chambres,NB Salles de Bain,Longitude,Latitude
1,360000,2,62,1,2,1,-8.500711599999999,33.2316326
2,750000,2,92,1,3,1,-8.500711599999999,33.2316326
3,2100000,2,136,1,2,2,-7.589843399999999,33.5731104
5,250000,4,72,1,3,1,-7.5370811,33.4160634
6,445000,3,50,1,1,1,-7.291589999999998,33.7395856
7,450000,2,71,1,2,2,-7.989825799999999,31.6225224
8,1550000,5,86,2,2,3,-6.8498129,33.9715904
9,510000,2,105,1,3,1,-1.900155,34.681962
10,880000,3,70,1,1,1,-7.589843399999999,33.5731104
11,1850000,5,104,1,3,2,-7.589843399999999,33.5731104
12,510000,1,100,1,3,1,-1.900155,34.681962
13,990000,2,112,2,2,1,-7.291589999999998,33.7395856
14,558000,2,62,1,3,2,-7.633112999999999,33.4497542
15,1250000,1,100,1,2,2,-7.589843399999999,33.5731104
16,705000,2,75,1,3,2,-7.633112999999999,33.4497542
17,650000,2,75,1,3,1,-5.833954299999999,35.7594651
18,800000,2,106,1,3,2,-7.633112999999999,33.4497542
19,2100000,3,130,2,3,2,-7.589843399999999,33.5731104
20,1100000,4,73,2,2,2,-7.589843399999999,33.5731104
21,1100000,4,88,1,2,2,-7.589843399999999,33.5731104
22,1220000,1,103,1,3,2,-6.9273969,33.9203274
23,315000,4,55,0,2,0,-5.833954299999999,35.7594651
24,990000,7,101,1,2,2,-7.589843399999999,33.5731104
26,640000,2,71,1,2,2,-7.633112999999999,33.4497542
28,630000,3,75,1,2,0,-5.833954299999999,35.7594651
29,1850000,1,127,1,2,2,-7.589843399999999,33.5731104
30,1005900,2,103,1,2,1,-9.5925444,30.4280405
31,440000,3,49,1,1,1,-7.633112999999999,33.4497542
32,1400000,1,109,1,2,1,-7.989825799999999,31.6225224
33,880000,3,104,2,2,2,-7.633112999999999,33.4497542
34,230000,3,46,1,1,1,-7.589843399999999,33.5731104
36,700000,1,49,1,1,1,-7.989825799999999,31.6225224
44,1030000,1,114,1,3,2,-7.633112999999999,33.4497542
45,1159500,1,117,1,2,1,-9.5925444,30.4280405
46,750000,4,98,1,2,1,-7.989825799999999,31.6225224
47,300000,3,54,1,2,1,-7.589843399999999,33.5731104
48,1000000,5,100,1,3,2,-7.589843399999999,33.5731104
51,750000,4,84,0,2,0,-7.989825799999999,31.6225224
52,480000,1,63,1,2,2,-6.9273969,33.9203274
55,480000,1,70,1,2,1,-7.589843399999999,33.5731104
56,1100000,1,104,1,3,1,-7.989825799999999,31.6225224
58,920000,2,95,1,2,1,-7.945665899999999,33.4774313
59,680000,3,115,1,3,1,-6.9262805,33.8307968
60,580000,1,62,1,2,1,-7.589843399999999,33.5731104
61,750000,4,75,1,2,2,-7.589843399999999,33.5731104
62,1180000,3,98,2,2,2,-6.8498129,33.9715904
63,250000,3,72,1,3,1,-7.5370811,33.4160634
64,900000,2,172,3,3,3,-7.384854699999999,33.6835086
65,840000,3,94,1,4,1,-7.589843399999999,33.5731104
66,950000,3,63,1,2,1,-7.589843399999999,33.5731104
67,270000,1,53,1,2,1,-7.589843399999999,33.5731104
69,320000,4,54,1,2,1,-7.589843399999999,33.5731104
70,590000,1,56,1,2,2,-9.5925444,30.4280405
72,1450000,3,93,2,2,2,-7.589843399999999,33.5731104
73,250000,4,60,1,3,2,-7.989825799999999,31.6225224
79,1600000,3,125,2,3,3,-6.8498129,33.9715904
80,740000,1,84,1,2,2,-9.5925444,30.4280405
82,750000,1,68,1,2,2,-5.833954299999999,35.7594651
84,370000,1,58,1,2,1,-7.589843399999999,33.5731104
86,640000,4,64,1,2,1,-7.589843399999999,33.5731104
87,250000,4,55,1,2,1,-7.384854699999999,33.6835086
88,970000,1,84,1,2,2,-7.291589999999998,33.7395856
89,1915000,1,103,1,2,2,-7.589843399999999,33.5731104
90,850000,2,75,1,2,2,-7.589843399999999,33.5731104
91,1020000,1,101,1,3,2,-7.589843399999999,33.5731104
92,1440000,5,89,2,2,1,-6.8498129,33.9715904
93,480000,2,51,1,2,2,-6.9273969,33.9203274
94,900000,3,81,2,2,2,-7.989825799999999,31.6225224
95,450000,1,84,1,2,1,-8.500711599999999,33.2316326
96,1300000,6,73,1,3,1,-7.589843399999999,33.5731104
98,250000,1,81,3,1,1,-5.7129164,34.2260172
104,340000,4,60,1,2,1,-9.5925444,30.4280405
117,1000000,3,112,1,3,2,-7.589843399999999,33.5731104
118,696000,2,87,1,2,2,-6.770813800000001,34.0336969
120,340000,3,58,1,2,1,-5.833954299999999,35.7594651
122,400000,1,74,1,2,1,-7.589843399999999,33.5731104
128,2117000,5,157,1,3,2,-7.589843399999999,33.5731104
129,700000,1,110,1,3,1,-6.375799,32.342443
130,590000,1,59,1,2,2,-7.633112999999999,33.4497542
131,870000,3,86,1,2,1,-7.633112999999999,33.4497542
132,870000,1,85,1,3,2,-7.633112999999999,33.4497542
134,820000,4,41,1,1,1,-7.589843399999999,33.5731104
135,1320000,3,70,1,2,2,-6.9273969,33.9203274
136,2600000,1,115,2,2,2,-6.8498129,33.9715904
137,1495000,3,85,1,2,2,-7.589843399999999,33.5731104
138,1450000,1,120,1,2,1,-6.8498129,33.9715904
139,560000,1,60,1,1,2,-7.989825799999999,31.6225224
140,880000,1,112,2,2,1,-7.384854699999999,33.6835086
141,600000,2,90,2,2,2,-6.375799,32.342443
142,550000,3,61,2,1,1,-6.5890166,34.2540503
143,790000,3,50,1,1,1,-6.6758408,34.2562684
144,960000,6,86,1,3,2,-7.589843399999999,33.5731104
145,1900000,3,120,1,3,2,-7.589843399999999,33.5731104
146,2940000,2,137,2,3,3,-6.8498129,33.9715904
147,1200000,1,81,1,2,1,-7.989825799999999,31.6225224
148,2800000,1,170,2,3,3,-6.8498129,33.9715904
152,780000,1,77,1,2,1,-7.589843399999999,33.5731104
153,250000,4,45,1,2,1,-6.375799,32.342443
155,1428000,5,84,1,2,1,-7.589843399999999,33.5731104
156,920000,2,96,1,4,2,-9.5925444,30.4280405
157,2000000,2,142,1,4,2,-9.5925444,30.4280405
158,650000,3,72,1,2,1,-7.989825799999999,31.6225224
160,1030000,2,88,1,4,2,-9.5925444,30.4280405
161,530000,2,67,1,2,2,-9.5925444,30.4280405
162,330000,3,59,1,2,1,-7.589843399999999,33.5731104
163,560000,3,95,0,3,2,-5.0078451,34.0181246
165,350000,2,72,1,3,2,-7.989825799999999,31.6225224
166,1380000,2,115,1,2,2,-7.589843399999999,33.5731104
172,480000,2,75,1,1,1,-7.589843399999999,33.5731104
173,380000,3,59,1,2,1,-7.633112999999999,33.4497542
174,950000,6,168,2,2,2,-5.284117699999999,35.6196262
186,360000,2,50,1,2,1,-5.284117699999999,35.6196262
187,300000,2,85,1,2,1,-7.589843399999999,33.5731104
188,730000,5,60,1,2,1,-5.3610346,35.8432765
189,960000,1,90,1,2,2,-7.384854699999999,33.6835086
191,1177600,1,128,1,3,1,-5.0078451,34.0181246
194,800000,1,136,2,3,2,-9.5925444,30.4280405
198,790000,3,93,1,2,2,-6.770813800000001,34.0336969
199,440000,1,92,1,2,1,-6.5890166,34.2540503
200,600000,1,110,1,3,1,-5.0078451,34.0181246
201,610000,1,87,1,2,2,-6.5890166,34.2540503
202,440000,1,69,1,3,1,-7.589843399999999,33.5731104
204,1039500,4,99,1,3,2,-7.589843399999999,33.5731104
205,730000,2,73,1,2,1,-7.589843399999999,33.5731104
207,580000,1,88,1,2,1,-7.1599419,33.7734338
208,2700000,2,143,1,3,2,-7.989825799999999,31.6225224
209,480000,2,85,1,3,1,-5.3625516,35.5888995
211,500000,1,121,1,3,2,-6.5890166,34.2540503
214,1344000,2,96,1,2,2,-7.589843399999999,33.5731104
216,530000,1,97,1,2,2,-6.5890166,34.2540503
217,1254000,4,76,1,3,2,-7.589843399999999,33.5731104
218,680000,1,119,1,3,2,-6.5890166,34.2540503
219,770000,1,115,1,3,2,-6.5890166,34.2540503
220,580000,1,123,2,3,2,-5.0078451,34.0181246
221,970000,1,57,1,2,1,-5.294569399999999,35.6627774
222,651000,1,62,1,1,1,-7.589843399999999,33.5731104
224,1450000,1,137,1,3,2,-7.589843399999999,33.5731104
225,600000,2,135,2,2,2,-6.770813800000001,34.0336969
226,1150000,5,103,2,2,1,-7.589843399999999,33.5731104
227,1450000,2,120,1,3,2,-7.589843399999999,33.5731104
228,1075000,3,86,1,2,2,-7.589843399999999,33.5731104
229,931500,3,81,1,2,2,-7.589843399999999,33.5731104
230,1650000,2,121,1,3,2,-7.384854699999999,33.6835086
231,850000,1,86,1,2,1,-6.770813800000001,34.0336969
232,1150000,4,94,1,2,2,-6.9273969,33.9203274
233,500000,1,90,1,2,1,-6.5890166,34.2540503
235,968000,3,121,1,3,1,-7.989825799999999,31.6225224
236,270000,3,50,1,2,1,-7.060599799999999,33.8509477
237,470000,1,60,1,2,1,-7.633112999999999,33.4497542
238,470000,2,60,1,2,1,-7.633112999999999,33.4497542
239,600000,1,54,1,2,1,-7.589843399999999,33.5731104
240,760000,1,131,2,4,2,-7.1599419,33.7734338
241,1600000,1,95,1,2,1,-6.8498129,33.9715904
242,1180000,1,101,2,2,2,-6.9273969,33.9203274
243,230000,4,55,1,2,1,-6.5890166,34.2540503
244,660000,3,63,1,2,2,-7.589843399999999,33.5731104
270,450000,1,92,1,2,1,-6.5890166,34.2540503
271,320000,1,50,1,2,1,-7.589843399999999,33.5731104
272,2200000,1,105,1,2,2,-6.8498129,33.9715904
273,2770000,3,130,2,3,2,-6.8498129,33.9715904
